01.01.2023,Day-ahead Price,Currency,Year,Month,Day,Hour
07:00 - 08:00,181.5,EUR,2023,1,18,8
08:00 - 09:00,176.56,EUR,2023,1,18,9
09:00 - 10:00,140,EUR,2023,1,18,10
10:00 - 11:00,123.05,EUR,2023,1,18,11
11:00 - 12:00,119.31,EUR,2023,1,18,12
12:00 - 13:00,115.75,EUR,2023,1,18,13
13:00 - 14:00,117.08,EUR,2023,1,18,14
14:00 - 15:00,140,EUR,2023,1,18,15
15:00 - 16:00,147.97,EUR,2023,1,18,16
16:00 - 17:00,160,EUR,2023,1,18,17
17:00 - 18:00,127.08,EUR,2023,1,18,18
18:00 - 19:00,123.07,EUR,2023,1,18,19
19:00 - 20:00,117.09,EUR,2023,1,18,20
20:00 - 21:00,119.9,EUR,2023,1,18,21
21:00 - 22:00,117.51,EUR,2023,1,18,22
22:00 - 23:00,111.46,EUR,2023,1,18,23
23:00 - 00:00,111.53,EUR,2023,1,18,24
00:00 - 01:00,106.98,EUR,2023,1,19,1
01:00 - 02:00,104.97,EUR,2023,1,19,2
02:00 - 03:00,101.72,EUR,2023,1,19,3
03:00 - 04:00,107.23,EUR,2023,1,19,4
04:00 - 05:00,114.62,EUR,2023,1,19,5
05:00 - 06:00,118.94,EUR,2023,1,19,6
06:00 - 07:00,159.9,EUR,2023,1,19,7
07:00 - 08:00,164,EUR,2023,1,19,8
08:00 - 09:00,171.69,EUR,2023,1,19,9
09:00 - 10:00,139,EUR,2023,1,19,10
10:00 - 11:00,136.35,EUR,2023,1,19,11
11:00 - 12:00,129.6,EUR,2023,1,19,12
12:00 - 13:00,154.87,EUR,2023,1,19,13
13:00 - 14:00,160.49,EUR,2023,1,19,14
14:00 - 15:00,175.96,EUR,2023,1,19,15
15:00 - 16:00,186.29,EUR,2023,1,19,16
16:00 - 17:00,203.94,EUR,2023,1,19,17
17:00 - 18:00,197.57,EUR,2023,1,19,18
18:00 - 19:00,171.43,EUR,2023,1,19,19
19:00 - 20:00,150,EUR,2023,1,19,20
20:00 - 21:00,148.41,EUR,2023,1,19,21
21:00 - 22:00,149.34,EUR,2023,1,19,22
22:00 - 23:00,139,EUR,2023,1,19,23
23:00 - 00:00,149.9,EUR,2023,1,19,24
00:00 - 01:00,144.5,EUR,2023,1,20,1
01:00 - 02:00,142.44,EUR,2023,1,20,2
02:00 - 03:00,142.8,EUR,2023,1,20,3
03:00 - 04:00,144.98,EUR,2023,1,20,4
04:00 - 05:00,150.01,EUR,2023,1,20,5
05:00 - 06:00,169.9,EUR,2023,1,20,6
06:00 - 07:00,208.07,EUR,2023,1,20,7
07:00 - 08:00,235.06,EUR,2023,1,20,8
08:00 - 09:00,221.7,EUR,2023,1,20,9
09:00 - 10:00,209.77,EUR,2023,1,20,10
10:00 - 11:00,199.42,EUR,2023,1,20,11
11:00 - 12:00,187.49,EUR,2023,1,20,12
12:00 - 13:00,181.62,EUR,2023,1,20,13
13:00 - 14:00,179.6,EUR,2023,1,20,14
14:00 - 15:00,192,EUR,2023,1,20,15
15:00 - 16:00,200,EUR,2023,1,20,16
16:00 - 17:00,208.22,EUR,2023,1,20,17
17:00 - 18:00,208.4,EUR,2023,1,20,18
18:00 - 19:00,183.68,EUR,2023,1,20,19
19:00 - 20:00,151.39,EUR,2023,1,20,20
